Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"39,032,937","17,940,708,833.31",13.812,Apple Inc,Common Stock,Information Technology,08/14/2020
QQQ,594918104,MSFT ,"68,292,874","14,266,381,378.60",10.983,Microsoft Corp,Common Stock,Information Technology,08/14/2020
QQQ,023135106,AMZN ,"4,491,683","14,139,907,917.66",10.886,Amazon.com Inc,Common Stock,Consumer Discretionary,08/14/2020
QQQ,30303M102,FB ,"21,654,281","5,656,964,368.44",4.355,Facebook Inc,Common Stock,Communication Services,08/14/2020
QQQ,02079K305,GOOGL ,"3,100,393","4,664,944,319.59",3.591,Alphabet Inc,Common Stock,Communication Services,08/14/2020
QQQ,02079K107,GOOG ,"3,027,340","4,564,411,338.20",3.514,Alphabet Inc,Common Stock,Communication Services,08/14/2020
QQQ,88160R101,TSLA ,"2,129,480","3,515,153,930.80",2.706,Tesla Inc,Common Stock,Consumer Discretionary,08/14/2020
QQQ,67066G104,NVDA ,"7,064,991","3,267,982,236.96",2.516,NVIDIA Corp,Common Stock,Information Technology,08/14/2020
QQQ,70450Y103,PYPL ,"13,488,225","2,582,455,558.50",1.988,PayPal Holdings Inc,Common Stock,Information Technology,08/14/2020
QQQ,00724F101,ADBE ,"5,534,626","2,477,298,597.60",1.907,Adobe Inc,Common Stock,Information Technology,08/14/2020
QQQ,64110L106,NFLX ,"5,052,297","2,438,642,715.96",1.877,Netflix Inc,Common Stock,Communication Services,08/14/2020
QQQ,458140100,INTC ,"48,638,225","2,377,922,820.25",1.831,Intel Corp,Common Stock,Information Technology,08/14/2020
QQQ,20030N101,CMCSA ,"52,322,403","2,290,151,579.31",1.763,Comcast Corp,Common Stock,Communication Services,08/14/2020
QQQ,713448108,PEP ,"15,938,941","2,192,560,723.96",1.688,PepsiCo Inc,Common Stock,Consumer Staples,08/14/2020
QQQ,17275R102,CSCO ,"48,503,703","2,061,407,377.50",1.587,Cisco Systems Inc,Common Stock,Information Technology,08/14/2020
QQQ,22160K105,COST ,"5,072,662","1,705,834,777.36",1.313,Costco Wholesale Corp,Common Stock,Consumer Staples,08/14/2020
QQQ,872590104,TMUS ,"14,195,867","1,639,480,679.83",1.262,T-Mobile US Inc,Common Stock,Communication Services,08/14/2020
